ID da Venda,Data da Venda,Modelo,Marca,Cor,Tamanho,Estampa,Quantidade,Preço Unitário (R$),Valor Total do Item (R$),Etiqueta
239,2024-11-20,Short Moletom,Tommy Hilfiger,Bege,44,Estampa pequena na frente,1,351.99,351.99,ETQ239
240,2024-07-25,Bermuda de Sarja,Oakley,Preto,G,Sem estampa,4,201.99,807.96,ETQ240
241,2024-12-11,Jaqueta,Lacoste,Vermelho,44,Estampa pequena na frente e grande atrás,2,336.99,673.98,ETQ241
242,2024-05-05,Moletom com Capuz,Puma,Azul Marinho,40,Estampa grande na frente,1,102.99,102.99,ETQ242
243,2024-12-18,Chinelo,Sem Marca,Vermelho,44,Estampa pequena na frente e grande atrás,5,251.99,1259.95,ETQ243
244,2024-05-13,Camiseta Polo,Adidas,Vermelho,XG,Sem estampa,1,322.99,322.99,ETQ244
245,2024-09-25,Short Moletom,Adidas,Verde,XG,Estampa pequena na frente,1,99.99,99.99,ETQ245
246,2024-11-30,Moletom com Capuz,Lacoste,Cinza,XGG,Sem estampa,5,310.99,1554.95,ETQ246
247,2024-03-01,Camisa Manga Curta,Puma,Azul Claro,M,Estampa grande nas costas,5,124.99,624.9499999999999,ETQ247
248,2024-03-01,Chinelo,Vans,Bege,42,Estampa pequena na frente e grande atrás,5,141.99,709.95,ETQ248
249,2024-08-28,Short Jeans,Lacoste,Cinza,40,Sem estampa,3,88.99,266.97,ETQ249
250,2024-11-29,Camisa Manga Curta,Nike,Vermelho,GG,Estampa grande na frente,1,60.99,60.99,ETQ250
251,2024-11-29,Bermuda de Sarja,Sem Marca,Preto,GG,Sem estampa,1,40.99,40.99,ETQ251
252,2024-04-27,Chinelo,Adidas,Verde,GG,Sem estampa,2,310.99,621.98,ETQ252
253,2024-02-02,Tênis,Element,Verde,40,Estampa pequena na frente,4,192.99,771.96,ETQ253
254,2024-12-23,Moletom com Capuz,Vans,Verde,G,Sem estampa,3,144.99,434.97,ETQ254
255,2024-06-09,Jaqueta,Oakley,Verde,GG,Sem estampa,2,24.99,49.98,ETQ255
256,2024-01-21,Jaqueta,Element,Azul Marinho,42,Estampa grande na frente,2,380.99,761.98,ETQ256
257,2024-03-15,Short Jeans,Reserva,Marrom,G,Estampa grande na frente,2,309.99,619.98,ETQ257
258,2024-06-16,Camisa Manga Longa,Oakley,Azul Claro,42,Estampa pequena na frente e grande atrás,2,210.99,421.98,ETQ258
259,2024-02-20,Calça Jeans,Element,Azul Marinho,XGG,Estampa pequena na frente,3,144.99,434.97,ETQ259
260,2024-09-05,Short Moletom,Adidas,Vermelho,G,Estampa grande nas costas,5,125.99,629.9499999999999,ETQ260
261,2024-08-21,Camisa Regata,Hurley,Azul Marinho,42,Estampa grande nas costas,3,93.99,281.97,ETQ261
262,2024-11-20,Short Jeans,Quiksilver,Azul Claro,XGG,Sem estampa,4,388.99,1555.96,ETQ262
263,2024-11-23,Calça Moletom,Calvin Klein,Branco,40,Estampa pequena na frente,1,220.99,220.99,ETQ263
264,2024-12-16,Short Jeans,Element,Cinza,42,Estampa grande na frente,5,59.99,299.95,ETQ264
265,2024-12-04,Bermuda de Sarja,Element,Azul Claro,XGG,Estampa grande nas costas,2,71.99,143.98,ETQ265
266,2024-05-26,Calça Moletom,Puma,Azul Marinho,G,Estampa grande nas costas,3,75.99,227.97,ETQ266
267,2024-05-04,Camisa Regata,Adidas,Cinza,M,Estampa pequena na frente e grande atrás,4,72.99,291.96,ETQ267
268,2024-04-05,Short Jeans,Calvin Klein,Vermelho,XG,Estampa grande nas costas,2,156.99,313.98,ETQ268
269,2024-12-23,Jaqueta,Oakley,Azul Marinho,42,Estampa pequena na frente,5,70.99,354.95,ETQ269
270,2024-11-24,Moletom com Capuz,Calvin Klein,Verde,G,Estampa grande nas costas,2,48.99,97.98,ETQ270
271,2024-12-26,Camisa Manga Longa,Puma,Preto,XG,Estampa pequena na frente e grande atrás,1,331.99,331.99,ETQ271
272,2024-03-20,Calça Jeans,Tommy Hilfiger,Azul Marinho,42,Estampa grande nas costas,5,192.99,964.95,ETQ272
273,2024-04-23,Calça Jeans,Puma,Marrom,40,Estampa pequena na frente,3,367.99,1103.97,ETQ273
274,2024-05-08,Camisa Manga Longa,Puma,Marrom,44,Estampa pequena na frente e grande atrás,5,241.99,1209.95,ETQ274
275,2024-07-07,Short Jeans,Adidas,Azul Claro,GG,Sem estampa,2,174.99,349.98,ETQ275
276,2024-12-04,Moletom com Capuz,Element,Marrom,42,Estampa grande nas costas,3,124.99,374.97,ETQ276
277,2024-02-18,Camiseta Polo,Reserva,Azul Claro,40,Estampa grande na frente,4,355.99,1423.96,ETQ277
278,2024-03-20,Short Moletom,Quiksilver,Cinza,XGG,Estampa pequena na frente e grande atrás,2,97.99,195.98,ETQ278
279,2024-10-28,Camisa Manga Longa,Hurley,Vermelho,44,Sem estampa,1,347.99,347.99,ETQ279
280,2024-05-31,Camisa Manga Curta,Element,Azul Marinho,M,Estampa pequena na frente,1,273.99,273.99,ETQ280
281,2024-03-07,Tênis,Quiksilver,Preto,P,Estampa pequena na frente,3,347.99,1043.97,ETQ281
282,2024-01-12,Calça Moletom,Calvin Klein,Preto,G,Sem estampa,4,337.99,1351.96,ETQ282
283,2024-12-23,Jaqueta,Lacoste,Branco,42,Estampa grande na frente,1,120.99,120.99,ETQ283
284,2024-03-03,Camisa Manga Curta,Reserva,Branco,XGG,Estampa grande na frente,1,310.99,310.99,ETQ284
285,2024-11-21,Bermuda de Sarja,Reserva,Verde,M,Estampa grande nas costas,3,374.99,1124.97,ETQ285
286,2024-12-17,Calça Jeans,Hurley,Cinza,40,Estampa pequena na frente,3,300.99,902.97,ETQ286
287,2024-09-26,Camisa Manga Curta,Reserva,Cinza,P,Sem estampa,5,84.99,424.95,ETQ287
288,2024-06-08,Tênis,Tommy Hilfiger,Azul Claro,XG,Estampa pequena na frente,2,368.99,737.98,ETQ288
289,2024-11-29,Camiseta Polo,Calvin Klein,Azul Marinho,G,Estampa grande nas costas,3,126.99,380.97,ETQ289
290,2024-06-14,Calça Moletom,Adidas,Bege,42,Estampa grande nas costas,3,83.99,251.97,ETQ290
291,2024-06-11,Camisa Manga Longa,Tommy Hilfiger,Verde,44,Estampa pequena na frente,2,52.99,105.98,ETQ291
292,2024-12-15,Jaqueta,Hurley,Bege,M,Estampa pequena na frente,4,105.99,423.96,ETQ292
293,2024-07-20,Short Moletom,Tommy Hilfiger,Verde,GG,Estampa grande nas costas,1,306.99,306.99,ETQ293
294,2024-07-17,Short Moletom,Puma,Azul Claro,40,Sem estampa,4,321.99,1287.96,ETQ294
295,2024-06-02,Tênis,Element,Preto,P,Estampa pequena na frente,2,318.99,637.98,ETQ295
296,2024-02-16,Jaqueta,Calvin Klein,Cinza,M,Sem estampa,3,26.99,80.97,ETQ296
297,2024-12-25,Calça Moletom,Oakley,Verde,P,Estampa pequena na frente e grande atrás,4,210.99,843.96,ETQ297
298,2024-04-27,Short Moletom,Reserva,Bege,XGG,Estampa grande na frente,3,72.99,218.97,ETQ298
299,2024-04-05,Calça Moletom,Quiksilver,Bege,P,Estampa pequena na frente e grande atrás,2,387.99,775.98,ETQ299
300,2024-09-30,Moletom com Capuz,Calvin Klein,Marrom,42,Estampa grande nas costas,5,100.99,504.95,ETQ300
301,2024-12-25,Bermuda de Sarja,Quiksilver,Marrom,44,Estampa grande na frente,1,298.99,298.99,ETQ301
302,2024-04-26,Camisa Manga Longa,Adidas,Azul Marinho,40,Estampa pequena na frente e grande atrás,2,110.99,221.98,ETQ302
303,2024-12-10,Camisa Manga Longa,Lacoste,Preto,42,Estampa pequena na frente,1,237.99,237.99,ETQ303
304,2024-01-01,Camisa Manga Longa,Reserva,Preto,42,Sem estampa,1,112.99,112.99,ETQ304
305,2024-03-27,Short Jeans,Reserva,Cinza,G,Estampa pequena na frente e grande atrás,1,64.99,64.99,ETQ305
306,2024-10-31,Bermuda de Sarja,Hurley,Cinza,42,Sem estampa,4,149.99,599.96,ETQ306
307,2024-11-02,Camiseta Polo,Adidas,Verde,XGG,Estampa grande na frente,5,348.99,1744.95,ETQ307
308,2024-01-24,Calça Jeans,Lacoste,Vermelho,M,Estampa grande nas costas,4,196.99,787.96,ETQ308
309,2024-02-06,Short Jeans,Hurley,Marrom,GG,Sem estampa,3,275.99,827.97,ETQ309
310,2024-03-24,Calça Moletom,Quiksilver,Azul Claro,XGG,Estampa pequena na frente,1,230.99,230.99,ETQ310
311,2024-07-05,Calça Moletom,Nike,Verde,G,Estampa grande na frente,5,396.99,1984.95,ETQ311
312,2024-08-02,Camisa Regata,Element,Marrom,40,Sem estampa,5,239.99,1199.95,ETQ312
313,2024-06-23,Camisa Manga Curta,Reserva,Marrom,G,Sem estampa,4,284.99,1139.96,ETQ313
314,2024-06-03,Chinelo,Sem Marca,Preto,44,Estampa pequena na frente e grande atrás,1,138.99,138.99,ETQ314
315,2024-04-29,Tênis,Element,Azul Claro,GG,Estampa grande nas costas,4,253.99,1015.96,ETQ315
316,2024-04-30,Tênis,Nike,Preto,XGG,Estampa pequena na frente,3,79.99,239.97,ETQ316
317,2024-12-23,Short Moletom,Element,Cinza,G,Sem estampa,2,147.99,295.98,ETQ317
318,2024-05-06,Tênis,Vans,Preto,44,Estampa grande nas costas,2,136.99,273.98,ETQ318
319,2024-07-20,Short Moletom,Lacoste,Azul Claro,G,Estampa pequena na frente e grande atrás,3,252.99,758.97,ETQ319
320,2024-01-18,Short Moletom,Reserva,Bege,GG,Estampa pequena na frente e grande atrás,1,159.99,159.99,ETQ320
321,2024-11-22,Calça Moletom,Nike,Verde,44,Sem estampa,2,89.99,179.98,ETQ321
322,2024-06-19,Short Moletom,Element,Cinza,P,Estampa grande na frente,5,266.99,1334.95,ETQ322
323,2024-10-27,Camisa Manga Longa,Vans,Bege,40,Estampa pequena na frente e grande atrás,4,110.99,443.96,ETQ323
324,2024-09-25,Camisa Manga Curta,Quiksilver,Branco,GG,Estampa pequena na frente e grande atrás,4,49.99,199.96,ETQ324
325,2024-11-22,Camisa Manga Curta,Puma,Branco,XG,Estampa grande na frente,2,271.99,543.98,ETQ325
326,2024-12-20,Camisa Manga Longa,Quiksilver,Preto,XGG,Estampa grande na frente,5,87.99,439.95,ETQ326
327,2024-01-20,Short Jeans,Calvin Klein,Azul Marinho,G,Sem estampa,1,142.99,142.99,ETQ327
328,2024-12-27,Camisa Manga Curta,Nike,Bege,G,Estampa pequena na frente,2,308.99,617.98,ETQ328
329,2024-06-29,Camisa Regata,Sem Marca,Branco,44,Estampa grande na frente,1,219.99,219.99,ETQ329
330,2024-11-20,Camisa Manga Curta,Reserva,Cinza,P,Sem estampa,1,158.99,158.99,ETQ330
331,2024-12-02,Short Jeans,Calvin Klein,Preto,G,Sem estampa,5,364.99,1824.95,ETQ331
332,2024-05-02,Jaqueta,Reserva,Marrom,GG,Estampa grande na frente,5,319.99,1599.95,ETQ332
333,2024-11-03,Moletom com Capuz,Puma,Azul Claro,XG,Estampa grande nas costas,5,378.99,1894.95,ETQ333
334,2024-12-13,Tênis,Calvin Klein,Azul Claro,44,Estampa pequena na frente e grande atrás,5,318.99,1594.95,ETQ334
335,2024-09-22,Short Jeans,Reserva,Bege,42,Sem estampa,2,298.99,597.98,ETQ335
336,2024-10-04,Tênis,Tommy Hilfiger,Bege,40,Estampa pequena na frente,4,114.99,459.96,ETQ336
337,2024-10-29,Calça Jeans,Lacoste,Azul Marinho,G,Estampa grande nas costas,5,116.99,584.9499999999999,ETQ337
338,2024-09-10,Camisa Regata,Puma,Azul Claro,M,Estampa pequena na frente e grande atrás,5,68.99,344.95,ETQ338
339,2024-12-25,Chinelo,Nike,Marrom,P,Estampa pequena na frente,2,86.99,173.98,ETQ339
340,2024-12-20,Short Moletom,Adidas,Branco,P,Estampa grande nas costas,1,19.99,19.99,ETQ340
341,2024-12-13,Short Moletom,Hurley,Azul Marinho,M,Sem estampa,2,143.99,287.98,ETQ341
342,2024-08-15,Short Moletom,Reserva,Verde,G,Estampa grande na frente,2,44.99,89.98,ETQ342
343,2024-08-08,Moletom com Capuz,Nike,Branco,XGG,Estampa grande na frente,1,117.99,117.99,ETQ343
344,2024-06-02,Moletom com Capuz,Quiksilver,Preto,40,Estampa pequena na frente e grande atrás,4,228.99,915.96,ETQ344
345,2024-08-11,Jaqueta,Element,Branco,P,Estampa grande nas costas,4,387.99,1551.96,ETQ345
346,2024-06-10,Camiseta Polo,Puma,Preto,P,Estampa grande nas costas,2,379.99,759.98,ETQ346
347,2024-11-22,Camiseta Polo,Nike,Bege,42,Estampa grande nas costas,1,221.99,221.99,ETQ347
348,2024-08-09,Camiseta Polo,Oakley,Azul Claro,XG,Estampa grande nas costas,1,83.99,83.99,ETQ348
349,2024-11-23,Camisa Manga Longa,Puma,Branco,XG,Estampa pequena na frente,2,103.99,207.98,ETQ349
350,2024-06-11,Short Moletom,Calvin Klein,Azul Claro,GG,Sem estampa,3,75.99,227.97,ETQ350
351,2024-11-01,Bermuda de Sarja,Calvin Klein,Cinza,M,Sem estampa,4,233.99,935.96,ETQ351
352,2024-11-26,Short Jeans,Lacoste,Marrom,XGG,Estampa grande nas costas,2,382.99,765.98,ETQ352
353,2024-06-08,Tênis,Element,Vermelho,44,Estampa pequena na frente e grande atrás,5,339.99,1699.95,ETQ353
354,2024-08-03,Chinelo,Sem Marca,Azul Marinho,42,Estampa pequena na frente e grande atrás,1,59.99,59.99,ETQ354
355,2024-04-13,Camisa Manga Curta,Hurley,Azul Claro,M,Estampa grande nas costas,5,269.99,1349.95,ETQ355
356,2024-11-01,Bermuda de Sarja,Sem Marca,Marrom,XGG,Estampa grande na frente,2,160.99,321.98,ETQ356
357,2024-06-11,Calça Jeans,Sem Marca,Azul Claro,44,Estampa grande na frente,2,195.99,391.98,ETQ357
358,2024-03-20,Short Jeans,Puma,Marrom,40,Estampa grande nas costas,1,389.99,389.99,ETQ358
359,2024-11-28,Short Moletom,Reserva,Branco,GG,Estampa pequena na frente,5,312.99,1564.95,ETQ359
360,2024-12-22,Short Jeans,Hurley,Azul Marinho,XGG,Estampa pequena na frente,4,359.99,1439.96,ETQ360
361,2024-05-27,Bermuda de Sarja,Element,Cinza,G,Estampa grande na frente,4,27.99,111.96,ETQ361
362,2024-04-21,Short Moletom,Nike,Cinza,M,Estampa pequena na frente e grande atrás,1,225.99,225.99,ETQ362
363,2024-02-16,Short Jeans,Puma,Vermelho,M,Estampa pequena na frente,4,277.99,1111.96,ETQ363
364,2024-05-04,Calça Jeans,Nike,Vermelho,XGG,Estampa pequena na frente,3,350.99,1052.97,ETQ364
365,2024-07-20,Calça Moletom,Reserva,Bege,P,Estampa pequena na frente e grande atrás,1,360.99,360.99,ETQ365
366,2024-06-12,Moletom com Capuz,Nike,Azul Claro,M,Estampa grande na frente,5,88.99,444.95,ETQ366
367,2024-07-24,Chinelo,Reserva,Cinza,G,Estampa pequena na frente e grande atrás,3,194.99,584.97,ETQ367
368,2024-11-17,Calça Jeans,Vans,Marrom,44,Estampa grande nas costas,5,83.99,419.95,ETQ368
369,2024-04-30,Camiseta Polo,Puma,Preto,M,Estampa pequena na frente e grande atrás,3,261.99,785.97,ETQ369
370,2024-12-14,Jaqueta,Hurley,Marrom,XGG,Estampa pequena na frente e grande atrás,2,344.99,689.98,ETQ370
371,2024-11-23,Calça Jeans,Puma,Vermelho,XG,Estampa pequena na frente e grande atrás,3,193.99,581.97,ETQ371
372,2024-05-10,Tênis,Tommy Hilfiger,Verde,40,Estampa pequena na frente,5,294.99,1474.95,ETQ372
373,2024-12-15,Camiseta Polo,Quiksilver,Marrom,XG,Estampa pequena na frente,5,67.99,339.95,ETQ373
374,2024-11-20,Camisa Regata,Vans,Vermelho,XGG,Estampa pequena na frente,5,371.99,1859.95,ETQ374
375,2024-06-10,Calça Moletom,Nike,Cinza,GG,Estampa pequena na frente e grande atrás,3,394.99,1184.97,ETQ375
376,2024-12-25,Moletom com Capuz,Element,Vermelho,40,Sem estampa,4,332.99,1331.96,ETQ376
377,2024-12-13,Camisa Manga Longa,Puma,Azul Marinho,40,Sem estampa,5,22.99,114.95,ETQ377
378,2024-11-22,Bermuda de Sarja,Quiksilver,Cinza,XGG,Estampa grande nas costas,1,293.99,293.99,ETQ378
379,2024-02-08,Short Jeans,Nike,Bege,40,Estampa pequena na frente e grande atrás,1,294.99,294.99,ETQ379
380,2024-09-10,Camisa Regata,Puma,Cinza,XG,Sem estampa,2,30.99,61.98,ETQ380
381,2024-08-14,Short Jeans,Hurley,Marrom,XG,Sem estampa,5,375.99,1879.95,ETQ381
382,2024-10-29,Moletom com Capuz,Quiksilver,Verde,XG,Estampa grande na frente,3,275.99,827.97,ETQ382
383,2024-11-28,Camisa Regata,Sem Marca,Vermelho,XGG,Estampa grande na frente,3,195.99,587.97,ETQ383
384,2024-04-06,Camisa Manga Curta,Nike,Cinza,M,Estampa grande na frente,2,66.99,133.98,ETQ384
385,2024-02-11,Short Jeans,Adidas,Marrom,44,Estampa pequena na frente,1,397.99,397.99,ETQ385
386,2024-08-16,Short Jeans,Reserva,Bege,XG,Estampa grande na frente,1,327.99,327.99,ETQ386
387,2024-03-31,Bermuda de Sarja,Adidas,Preto,44,Estampa grande nas costas,4,162.99,651.96,ETQ387
388,2024-12-11,Camisa Regata,Element,Vermelho,40,Estampa pequena na frente e grande atrás,3,197.99,593.97,ETQ388
389,2024-10-06,Camisa Manga Longa,Puma,Verde,42,Estampa pequena na frente e grande atrás,2,34.99,69.98,ETQ389
390,2024-01-22,Moletom com Capuz,Quiksilver,Preto,42,Sem estampa,4,175.99,703.96,ETQ390
391,2024-03-08,Short Jeans,Puma,Azul Marinho,P,Estampa pequena na frente,4,346.99,1387.96,ETQ391
392,2024-11-25,Moletom com Capuz,Element,Azul Marinho,P,Estampa grande nas costas,2,392.99,785.98,ETQ392
393,2024-06-21,Camiseta Polo,Vans,Azul Marinho,GG,Estampa grande nas costas,2,309.99,619.98,ETQ393
394,2024-03-16,Tênis,Oakley,Verde,XGG,Estampa pequena na frente,4,48.99,195.96,ETQ394
395,2024-06-09,Tênis,Puma,Marrom,XGG,Estampa pequena na frente e grande atrás,1,165.99,165.99,ETQ395
396,2024-06-06,Short Moletom,Adidas,Preto,P,Estampa grande nas costas,4,379.99,1519.96,ETQ396
397,2024-12-17,Short Jeans,Calvin Klein,Vermelho,40,Sem estampa,2,198.99,397.98,ETQ397
398,2024-04-26,Short Jeans,Quiksilver,Branco,44,Estampa pequena na frente e grande atrás,3,391.99,1175.97,ETQ398
399,2024-08-30,Chinelo,Adidas,Marrom,M,Estampa pequena na frente e grande atrás,1,368.99,368.99,ETQ399
400,2024-12-21,Chinelo,Oakley,Azul Marinho,M,Estampa pequena na frente e grande atrás,3,364.99,1094.97,ETQ400
401,2024-08-31,Jaqueta,Lacoste,Cinza,GG,Estampa grande na frente,3,89.99,269.97,ETQ401
402,2024-05-19,Jaqueta,Adidas,Verde,40,Estampa pequena na frente e grande atrás,1,260.99,260.99,ETQ402
403,2024-03-26,Short Jeans,Tommy Hilfiger,Bege,P,Estampa grande na frente,4,86.99,347.96,ETQ403
404,2024-03-28,Camisa Manga Curta,Hurley,Azul Claro,XGG,Sem estampa,1,346.99,346.99,ETQ404
405,2024-06-06,Camisa Manga Longa,Nike,Marrom,GG,Estampa grande nas costas,3,137.99,413.97,ETQ405
406,2024-12-24,Calça Jeans,Calvin Klein,Branco,40,Sem estampa,1,24.99,24.99,ETQ406
407,2024-04-05,Calça Moletom,Sem Marca,Cinza,XGG,Sem estampa,3,62.99,188.97,ETQ407
408,2024-08-14,Calça Jeans,Vans,Cinza,P,Sem estampa,5,125.99,629.9499999999999,ETQ408
409,2024-06-12,Tênis,Reserva,Verde,GG,Estampa grande na frente,2,92.99,185.98,ETQ409
410,2024-01-01,Tênis,Oakley,Azul Marinho,GG,Estampa pequena na frente e grande atrás,5,201.99,1009.95,ETQ410
411,2024-01-12,Chinelo,Adidas,Cinza,GG,Estampa grande nas costas,1,141.99,141.99,ETQ411
412,2024-03-04,Calça Jeans,Vans,Cinza,42,Estampa pequena na frente,1,142.99,142.99,ETQ412
413,2024-07-26,Camisa Manga Curta,Calvin Klein,Marrom,GG,Estampa grande nas costas,5,22.99,114.95,ETQ413
414,2024-12-29,Jaqueta,Tommy Hilfiger,Preto,44,Estampa grande nas costas,1,142.99,142.99,ETQ414
415,2024-06-05,Calça Jeans,Vans,Verde,P,Sem estampa,1,53.99,53.99,ETQ415
416,2024-12-14,Bermuda de Sarja,Tommy Hilfiger,Branco,GG,Estampa pequena na frente,3,394.99,1184.97,ETQ416
417,2024-02-04,Camiseta Polo,Lacoste,Preto,GG,Sem estampa,1,187.99,187.99,ETQ417
418,2024-04-07,Camisa Manga Curta,Tommy Hilfiger,Marrom,M,Estampa grande nas costas,3,128.99,386.97,ETQ418
419,2024-12-23,Camisa Manga Curta,Reserva,Vermelho,G,Estampa grande nas costas,3,20.99,62.97,ETQ419
420,2024-09-03,Camiseta Polo,Calvin Klein,Bege,M,Estampa grande nas costas,3,281.99,845.97,ETQ420
421,2024-01-13,Tênis,Element,Preto,XG,Estampa pequena na frente e grande atrás,2,35.99,71.98,ETQ421
422,2024-10-02,Tênis,Hurley,Marrom,P,Estampa grande na frente,2,72.99,145.98,ETQ422
423,2024-05-22,Short Moletom,Adidas,Branco,40,Estampa pequena na frente e grande atrás,3,255.99,767.97,ETQ423
424,2024-11-21,Bermuda de Sarja,Oakley,Cinza,42,Estampa pequena na frente,5,355.99,1779.95,ETQ424
425,2024-06-12,Jaqueta,Calvin Klein,Branco,42,Estampa grande nas costas,4,377.99,1511.96,ETQ425
426,2024-12-21,Moletom com Capuz,Oakley,Azul Claro,XG,Sem estampa,2,160.99,321.98,ETQ426
427,2024-09-07,Camisa Manga Curta,Calvin Klein,Bege,44,Estampa pequena na frente,1,60.99,60.99,ETQ427
428,2024-06-05,Jaqueta,Adidas,Branco,42,Estampa grande na frente,5,268.99,1344.95,ETQ428
429,2024-03-10,Camisa Regata,Vans,Azul Claro,M,Estampa grande na frente,3,105.99,317.97,ETQ429
430,2024-11-22,Calça Moletom,Puma,Verde,G,Estampa pequena na frente,2,346.99,693.98,ETQ430
431,2024-06-11,Moletom com Capuz,Tommy Hilfiger,Branco,M,Sem estampa,1,194.99,194.99,ETQ431
432,2024-11-16,Calça Moletom,Puma,Verde,XGG,Estampa grande na frente,1,368.99,368.99,ETQ432
433,2024-04-30,Jaqueta,Sem Marca,Vermelho,40,Estampa grande na frente,4,372.99,1491.96,ETQ433
434,2024-11-26,Chinelo,Tommy Hilfiger,Verde,P,Estampa grande na frente,4,41.99,167.96,ETQ434
435,2024-05-20,Camisa Manga Curta,Nike,Branco,G,Estampa pequena na frente,5,313.99,1569.95,ETQ435
436,2024-06-08,Camisa Manga Longa,Quiksilver,Vermelho,XG,Estampa grande nas costas,1,217.99,217.99,ETQ436
437,2024-06-01,Bermuda de Sarja,Oakley,Verde,P,Sem estampa,3,376.99,1130.97,ETQ437
438,2024-12-22,Calça Moletom,Element,Branco,42,Estampa pequena na frente e grande atrás,5,279.99,1399.95,ETQ438
439,2024-12-13,Camiseta Polo,Quiksilver,Azul Marinho,42,Estampa pequena na frente e grande atrás,5,265.99,1329.95,ETQ439
440,2024-08-18,Short Moletom,Reserva,Cinza,XG,Estampa pequena na frente e grande atrás,4,284.99,1139.96,ETQ440
441,2024-10-11,Short Moletom,Element,Vermelho,XGG,Sem estampa,1,279.99,279.99,ETQ441
442,2024-06-09,Camiseta Polo,Sem Marca,Azul Marinho,XGG,Estampa pequena na frente e grande atrás,3,31.99,95.97,ETQ442
443,2024-12-25,Short Moletom,Oakley,Azul Marinho,44,Estampa pequena na frente e grande atrás,2,277.99,555.98,ETQ443
444,2024-06-08,Chinelo,Oakley,Azul Claro,M,Estampa pequena na frente,1,43.99,43.99,ETQ444
445,2024-12-15,Bermuda de Sarja,Adidas,Verde,40,Estampa pequena na frente e grande atrás,1,194.99,194.99,ETQ445
446,2024-07-20,Calça Jeans,Quiksilver,Bege,GG,Estampa pequena na frente e grande atrás,1,105.99,105.99,ETQ446
447,2024-04-04,Camisa Manga Longa,Nike,Marrom,XGG,Estampa grande na frente,1,380.99,380.99,ETQ447
448,2024-06-04,Short Moletom,Element,Marrom,G,Estampa pequena na frente e grande atrás,5,303.99,1519.95,ETQ448
449,2024-11-13,Short Moletom,Nike,Azul Marinho,XG,Estampa pequena na frente e grande atrás,1,93.99,93.99,ETQ449
450,2024-07-22,Jaqueta,Hurley,Cinza,M,Estampa pequena na frente,3,160.99,482.97,ETQ450
451,2024-10-29,Camisa Manga Curta,Quiksilver,Branco,XGG,Estampa grande na frente,5,367.99,1839.95,ETQ451
452,2024-12-19,Calça Moletom,Nike,Branco,40,Estampa pequena na frente,5,83.99,419.95,ETQ452
453,2024-02-23,Jaqueta,Puma,Azul Marinho,P,Estampa grande nas costas,5,239.99,1199.95,ETQ453
454,2024-12-02,Bermuda de Sarja,Reserva,Azul Marinho,XGG,Estampa pequena na frente,2,216.99,433.98,ETQ454
455,2024-12-10,Calça Jeans,Hurley,Verde,42,Estampa grande nas costas,5,265.99,1329.95,ETQ455
456,2024-09-24,Calça Moletom,Lacoste,Verde,42,Estampa pequena na frente,4,397.99,1591.96,ETQ456
457,2024-06-06,Camiseta Polo,Oakley,Azul Claro,G,Estampa pequena na frente,2,114.99,229.98,ETQ457
458,2024-06-30,Camiseta Polo,Vans,Marrom,40,Estampa grande na frente,1,348.99,348.99,ETQ458
459,2024-12-26,Camisa Manga Curta,Tommy Hilfiger,Verde,GG,Estampa grande na frente,4,391.99,1567.96,ETQ459
460,2024-09-04,Chinelo,Hurley,Azul Marinho,GG,Estampa grande nas costas,1,227.99,227.99,ETQ460
461,2024-05-23,Tênis,Oakley,Vermelho,M,Estampa pequena na frente e grande atrás,2,126.99,253.98,ETQ461
462,2024-06-20,Tênis,Puma,Marrom,40,Estampa grande na frente,2,166.99,333.98,ETQ462
463,2024-01-10,Bermuda de Sarja,Puma,Bege,XGG,Estampa pequena na frente e grande atrás,1,42.99,42.99,ETQ463
464,2024-08-10,Jaqueta,Sem Marca,Bege,40,Estampa grande nas costas,4,156.99,627.96,ETQ464
465,2024-12-26,Calça Jeans,Nike,Bege,P,Estampa pequena na frente,4,327.99,1311.96,ETQ465
466,2024-07-22,Camisa Manga Curta,Quiksilver,Cinza,XG,Sem estampa,3,316.99,950.97,ETQ466
467,2024-06-26,Bermuda de Sarja,Sem Marca,Branco,GG,Sem estampa,5,126.99,634.9499999999999,ETQ467
468,2024-12-12,Chinelo,Puma,Marrom,GG,Estampa pequena na frente,2,79.99,159.98,ETQ468
469,2024-11-28,Bermuda de Sarja,Tommy Hilfiger,Branco,P,Estampa pequena na frente e grande atrás,1,153.99,153.99,ETQ469
470,2024-01-07,Camiseta Polo,Lacoste,Vermelho,P,Estampa grande na frente,3,349.99,1049.97,ETQ470
471,2024-12-15,Camisa Manga Curta,Quiksilver,Bege,P,Estampa pequena na frente,5,326.99,1634.95,ETQ471
472,2024-07-12,Camiseta Polo,Nike,Bege,44,Sem estampa,5,383.99,1919.95,ETQ472
473,2024-08-29,Camisa Manga Longa,Vans,Branco,G,Estampa pequena na frente,2,22.99,45.98,ETQ473
474,2024-06-25,Jaqueta,Element,Verde,M,Estampa grande nas costas,3,114.99,344.97,ETQ474
475,2024-06-06,Tênis,Reserva,Azul Claro,40,Sem estampa,4,121.99,487.96,ETQ475
476,2024-03-21,Chinelo,Calvin Klein,Azul Claro,44,Sem estampa,1,137.99,137.99,ETQ476
477,2024-11-27,Short Jeans,Element,Cinza,XG,Sem estampa,1,361.99,361.99,ETQ477
